                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6243,                 4.6707,                 1.5259,                      0,                      0,                      0,                      0,                 2.2808,                 4.3966,                 1.3104,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                 2.1032,                 3.9045,                 1.1659,                0.00013,                0.00188,                  6e-05,                  6e-05,                 1.8947,                 4.0697,                 1.1107,             0.00018595,             0.00018595,             0.00018595
                      3,                 1.9439,                 2.7536,                 1.0526,                0.00509,                0.12898,                 0.0423,                0.01725,                 1.7995,                 3.8367,                 1.1046,             0.00028276,             0.00028276,             0.00028276
                      4,                 1.7766,                 2.0318,                 1.0661,                0.01509,                 0.3501,                0.11896,                0.04152,                  1.718,                  3.501,                 1.0746,             0.00037791,             0.00037791,             0.00037791
                      5,                 1.7036,                 1.7867,                 1.0442,                0.02226,                0.63014,                0.31109,                0.13913,                  1.854,                 3.2683,                 1.0934,             0.00047141,             0.00047141,             0.00047141
                      6,                 1.6359,                 1.5881,                 1.0114,                0.02225,                0.66254,                0.32769,                0.14247,                 1.8511,                 3.0467,                 1.0917,             0.00056327,             0.00056327,             0.00056327
                      7,                 1.6201,                 1.5265,                0.98644,                0.30338,                0.65807,                  0.436,                 0.2286,                 1.6206,                 2.7794,                 1.0319,             0.00065347,             0.00065347,             0.00065347
                      8,                 1.5327,                 1.4476,                0.99942,                0.54849,                0.43961,                 0.5298,                0.26383,                 1.7226,                  2.643,                 1.0507,             0.00074202,             0.00074202,             0.00074202
                      9,                 1.5507,                 1.3164,                 1.0025,                0.66224,                 0.4782,                0.59702,                0.32201,                  1.602,                 2.5137,                 1.0206,             0.00082893,             0.00082893,             0.00082893
                     10,                 1.5617,                 1.3573,                0.98875,                0.76791,                0.44903,                0.63833,                0.27925,                 1.8053,                 2.6729,                 1.0407,             0.00091418,             0.00091418,             0.00091418
                     11,                 1.5482,                 1.3224,                0.99901,                0.90578,                0.35333,                0.69277,                 0.3423,                 1.6912,                 2.0623,                 1.0414,             0.00099778,             0.00099778,             0.00099778
                     12,                 1.4963,                  1.208,                0.99111,                0.90431,                0.54954,                0.72811,                0.36602,                 1.7376,                 1.8357,                 1.0297,              0.0010797,              0.0010797,              0.0010797
                     13,                 1.5141,                  1.199,                0.98369,                0.85261,                0.60134,                0.79091,                0.40328,                 1.6119,                 1.7149,                 1.0006,              0.0011263,              0.0011263,              0.0011263
